,Variable,Position,Label de,Label en,Skala,N,Format,Missing
258,e060m1,259,Katze     ,cat,Nominal,7931,F2,
259,e060m2,260,Hund     ,dog,Nominal,7931,F2,
260,e060m3,261,Kleinsäugetiere     ,small mammals,Nominal,7931,F2,
261,e060m4,262,Vögel     ,birds,Nominal,7931,F2,
262,e060m5,263,"Fische/Wassertiere, Terrarientiere    ","Fish/aquatic animals, terrarium animals",Nominal,7931,F2,
263,e061,264,Betreuung ausschließlich innerhalb Familie  ,Family care only,Nominal,17250,F2,
264,e061m1,265,Betreuung in Kita/Kindergarten   ,Care in daycare/kindergarten,Nominal,12319,F2,
265,e061m2,266,In Tagesbetreuung    ,In day care,Nominal,12319,F2,
266,e061z1,267,Alter zu Betreuungsbeginn (Jahre)  ,Age at start of care (years),Metrisch,12540,F2,-8
267,e061z2,268,Alter zu Betreuungsbeginn (Monate)  ,Age at start of care (months),Metrisch,4999,F2,"-7, -8"
268,e103,269,Betreuung nach der Schule  ,after school care,Nominal,7013,F2,-7
269,e0621,270,Häufigkeit: Spielen im Freien  ,Frequency: playing outdoors,Ordinal,7840,F2,-7
270,e0622,271,Häufigkeit: Sport treiben im Verein ,Frequency: doing sports in a club,Ordinal,7698,F2,-7
271,e0623,272,Häufigkeit: Sport treiben außerhalb Verein ,Frequency: doing sports outside of a club,Ordinal,7571,F2,-7
272,e0631,273,Fernsehen an Wochentagen   ,TV on weekdays,Ordinal,10799,F2,-7
273,e0632,274,Fernsehen an Sonn-/Feiertagen   ,TV on Sundays/holidays,Ordinal,10610,F2,-7
274,e0641,275,Computerspielen an Wochentagen   ,Computer games on weekdays,Ordinal,10657,F2,-7
275,e0642,276,Computerspielen an Sonn-/Feiertagen   ,Computer games on Sundays/holidays,Ordinal,10564,F2,-7
276,e065z,277,Schlaf pro Tag insges. (Stunden) ,Total sleep per day (hours),Metrisch,10525,F2,"-7, -8"
277,e065,278,Schlafschwierigkeiten (EFB)    ,Difficulty sleeping (EFB),Nominal,10378,F2,-7
278,e065a,279,Einschlafschwierigkeiten (EFB)    ,Difficulty falling asleep (EFB),Nominal,1816,F2,-7
279,e065b,280,Durchschlafschwierigkeiten (EFB)    ,Difficulty staying asleep (EFB),Nominal,1816,F2,-7
280,e065c,281,Aufwachen i.d. Nacht (EFB)  ,Wake up in the night (EFB),Ordinal,2293,F2,-7
281,e0941,282,Spielen (in Räumen)   ,play (in rooms),Ordinal,2661,F2,-7
282,e0942,283,Säuglings-/Kleinkindschwimmen/Turnen     ,Infant/Toddler Swimming/Gymnastics,Ordinal,2463,F2,-7
283,e0943,284,Spazieren gehen/ im Freien Spielen ,Go for walks/play outside,Ordinal,2660,F2,-7
284,e0944,285,Singen und Musizieren   ,singing and making music,Ordinal,2574,F2,-7
285,e0945,286,Bilderbücher angucken    ,look at picture books,Ordinal,2605,F2,-7
286,e0946,287,Fernsehen/ Video    ,television/video,Ordinal,2571,F2,-7
287,e0947,288,Malen/Basteln     ,Painting/Crafts,Ordinal,2549,F2,-7
288,e0948,289,Ins-Bett-geh-Ritual     ,Going to bed ritual,Ordinal,2591,F2,-7
289,e099n,290,Schulbesuch zur Zeit (EFB)  ,School attendance at the time (EFB),Nominal,10501,F2,-7
290,e099z,291,Wievielte Klasse (EFB)   ,What class (EFB),Metrisch,10150,F2,"-7, -8"
291,e100,292,Einschulung     ,school enrollment,Nominal,10607,F2,-7
292,e101,293,Schuldurchlauf     ,school run,Nominal,10590,F2,-7
293,e102,294,Schulleistungen     ,school performance,Ordinal,1678,F2,-7
294,e102z1,295,Letzte Zeugnisnote Mathematik   ,Last grade in mathematics,Metrisch,8620,F2,"-7, -8"
295,e102z2,296,Letzte Zeugnisnote Deutsch   ,Last grade in German,Metrisch,8605,F2,"-7, -8"
296,e102z3,297,Letzte Punktezahl Mathematik   ,Last score math,Metrisch,136,F2,"-7, -8"
297,e102z4,298,Letzte Punktezahl Deutsch   ,Last score German,Metrisch,137,F2,"-7, -8"
298,e106,299,Schultyp (Kind) (Ausl-KurzFB Eltern)  ,Type of school (child) (Ausl-KurzFB parents),Ordinal,105,F2,
299,e125,300,Jetzige Tätigkeit (Kind) (Ausl-KurzFB Eltern) ,Current job (child) (Ausl-KurzFB parents),Nominal,47,F2,
300,e066,301,Wurde bzw. wird Ihr Kind gestillt,Has your child been or will you be breastfed?,Nominal,17196,F2,
301,e066a,302,Kind wird zZ. noch gestillt ,child is currently still breastfed,Nominal,2201,F2,-7
302,e066z,303,Bis zu welchem Lebensmonat gestillt ,Up to what month of life breastfed,Metrisch,12515,F2,-8
303,e067,304,Wie lange voll gestillt  ,How long fully breastfed,Nominal,12925,F2,
304,stillv,305,Jemals voll gestillt   ,Ever fully breastfed,Ordinal,15892,F2,
305,e067z,306,Voll gestillt bis zum ... Monat,Fully breastfed up to ... month,Metrisch,10684,F2,-8
306,Stillen,307,Stillen (zusammengefasst)    ,breastfeeding (summary),Ordinal,17035,F2,
307,e0681,308,"Ernährung ohne Fleisch, Geflügel, Wurst ","Diet without meat, poultry, sausage",Nominal,16791,F2,-7
308,e0682,309,Ernährung ohne Fisch   ,Diet without fish,Nominal,16681,F2,-7
309,e0683,310,Ernährung ohne Milch u. Milchprodukte ,Diet without milk and dairy products,Nominal,16639,F2,-7
310,e0684,311,Ernährung ohne Eier   ,Diet without eggs,Nominal,16655,F2,-7
311,e068z1,312,Alter (Jahre): Fleischlose Ernährung  ,Age (years): Meatless diet,Metrisch,242,F2,"-7, -8"
312,e068z2,313,Alter (Monate): Fleischlose Ernährung  ,Age (months): Meatless diet,Metrisch,32,F2,"-7, -8"
313,e069,314,Elterneinschätzung des Gewichts   ,parental assessment of weight,Ordinal,17127,F2,-7
314,e095,315,Flaschennahrung     ,bottle feeding,Nominal,2581,F2,-7
315,e095z,316,Flaschennahrung: Seit ... Lebensmonat  ,Bottle feeding: Since ... month of life,Metrisch,982,F2,"-7, -8"
316,e095z1,317,Flaschennahrung: Vom ... Lebensmonat  ,Bottle feeding: From ... month of life,Metrisch,1044,F2,"-7, -8"
317,e095z2,318,Flaschennahrung: Bis zum ... Lebensmonat ,Bottle feeding: Up to ... months of age,Metrisch,1005,F2,"-7, -8"
318,e096a,319,Wasser aus häusl. Leitung  ,water from domestic management,Nominal,2043,F2,-7
319,e096b,320,Abgepacktes Wasser    ,packaged water,Nominal,2043,F2,-7
320,e09701,321,Säuglingsflaschennahrung     ,infant formula,Nominal,2427,F2,-7
321,e09702,322,Hypoallerg. Flaschennahrung    ,hypoallergenic bottle feeding,Nominal,2346,F2,-7
322,e09703,323,Probiot. Flaschennahrung    ,probiotic. bottle feeding,Nominal,2282,F2,-7
323,e09704,324,Vollmilch     ,whole milk,Nominal,2363,F2,-7
324,e09705,325,Fleischhalt. Kost    ,meat hold. fare,Nominal,2418,F2,-7
325,e09706,326,Milchbrei     ,milk porridge,Nominal,2432,F2,-7
326,e09707,327,Milchfreier Brei    ,Dairy Free Porridge,Nominal,2316,F2,-7
327,e09708,328,"Gemüsebrei, Gemüse    ","Vegetable puree, vegetables",Nominal,2468,F2,-7
328,e09709,329,Fruchtsaft (-getränk)    ,fruit juice (drink),Nominal,2423,F2,-7
329,e09710,330,Früchte     ,fruit,Nominal,2421,F2,-7
330,e09711,331,Vollkornprodukte     ,whole grain products,Nominal,2374,F2,-7
331,e09712,332,Tee (gesüßt)    ,tea (sweetened),Nominal,2338,F2,-7
332,e09713,333,Tee (ungesüßt)    ,tea (unsweetened),Nominal,2426,F2,-7
333,e09714,334,Familienkost     ,family fare,Nominal,2403,F2,-7
334,e097z01,335,Säuglingsflaschennahrung: Ab ... Monat  ,Infant formula: From ... month,Metrisch,1758,F2,"-7, -8"
335,e097z02,336,Hypoallerg. Flaschennahrung: Ab ... Monat ,hypoallergenic Bottle feeding: From ... month,Metrisch,512,F2,"-7, -8"
336,e097z03,337,Probiot. Flaschennahrung: Ab ... Monat ,probiotic. Bottle feeding: From ... month,Metrisch,337,F2,"-7, -8"
337,e097z04,338,Vollmilch: Ab ... Monat  ,Whole milk: From ... month,Metrisch,1429,F2,"-7, -8"
338,e097z05,339,Fleischhalt. Kost: Ab ... Monat ,meat hold. Diet: From ... month,Metrisch,2151,F2,"-7, -8"
339,e097z06,340,Milchbrei: Ab ... Monat  ,Milk porridge: From ... month,Metrisch,1988,F2,"-7, -8"
340,e097z07,341,Milchfreier Brei: Ab ... Monat ,Dairy-free porridge: From ... month,Metrisch,1201,F2,"-7, -8"
341,e097z08,342,"Gemüsebrei, Gemüse: Ab ... Monat ","Vegetable puree, vegetables: From ... month",Metrisch,2353,F2,"-7, -8"
342,e097z09,343,Fruchtsaft (-getränk): Ab ... Monat ,Fruit juice (drink): From ... month,Metrisch,1967,F2,"-7, -8"
343,e097z10,344,Früchte: Ab ... Monat  ,Fruits: From ... month,Metrisch,2196,F2,"-7, -8"
344,e097z11,345,Vollkornprodukte: Ab ... Monat  ,Whole grain products: From ... month,Metrisch,1818,F2,"-7, -8"
345,e097z12,346,Tee (gesüßt): Ab ... Monat ,Tea (sweetened): From ... month,Metrisch,783,F2,"-7, -8"
346,e097z13,347,Tee (ungesüßt): Ab ... Monat ,Tea (unsweetened): From ... month,Metrisch,1956,F2,"-7, -8"
347,e097z14,348,Familienkost: Ab ... Monat  ,Family diet: From ... month,Metrisch,1925,F2,"-7, -8"
348,E070M,349,Rauchen detailliert: Mutter   ,Smoking detailed: mother,Ordinal,17113,F2,-7
349,e070ma,350,Rauchen ja/nein: Mutter   ,Smoking yes/no: mother,Nominal,17266,F2,-7
350,E070V,351,Rauchen detailliert: Vater   ,Smoking detailed: father,Ordinal,16254,F2,-7
351,e070va,352,Rauchen ja/nein: Vater   ,Smoking yes/no: father,Nominal,16404,F2,-7
352,E071,353,Rauchen in der Wohnung  ,smoking in the apartment,Ordinal,17173,F2,-7
353,E072,354,Rauchen der Mutter in Schwangerschaft ,Smoking by the mother during pregnancy,Ordinal,17088,F2,-7
354,E073,355,Alkoholkonsum der Mutter in Schwangerschaft ,Alcohol consumption by the mother during pregnancy,Ordinal,17145,F2,-7
355,E074,356,Rauchen der Mutter in Stillzeit ,Smoking by the mother during breastfeeding,Nominal,17043,F2,-7
356,E104,357,Schon einmal Alkohol getrunken (EFB) ,Have you ever drunk alcohol (EFB),Nominal,6338,F2,-7
357,E1051,358,Häufigkeit Bier (EFB)   ,Frequency of beer (EFB),Ordinal,2842,F2,-7
358,E1052,359,Häufigkeit Wein/Sekt (EFB)   ,Frequency of wine/sparkling wine (EFB),Ordinal,2810,F2,-7
359,E1053,360,Häufigkeit Schnaps (EFB)   ,Frequency Schnaps (EFB),Ordinal,2632,F2,-7
360,E045,361,Helm beim Fahrradfahren (EFB)  ,Helmet while cycling (EFB),Nominal,14328,F2,-7
361,E0461,362,Knie- und Armschoner beim Fahren mit,Knee and arm pads when driving with,Nominal,14243,F2,-7
362,E0462,363,Helm beim Fahren mit Inline-Skates (EFB),Helmet when riding inline skates (EFB),Nominal,13676,F2,-7
363,E075,364,Zähneputzen     ,Brush teeth,Ordinal,10630,F2,-7
364,E076m1,365,Zahnpasta mit Fluor (EFB)  ,Toothpaste with fluoride (EFB),Nominal,9486,F2,-7
365,E076m2,366,Zahnpasta ohne Fluor (EFB)  ,Toothpaste without fluoride (EFB),Nominal,9486,F2,-7
366,E076m3,367,Keine Zahnpasta (EFB)   ,No Toothpaste (EFB),Nominal,9486,F2,-7
367,E076,368,Wattestäbchen (EFB)    ,cotton buds (EFB),Nominal,1939,F2,-7
368,E077,369,Zur Kontrolle zum Zahnarzt (EFB) ,To check up at the dentist (EFB),Ordinal,16425,F2,
369,E077a,370,In kieferorth. Behandlung (EFB)  ,In orthodontic. Treatment (EFB),Nominal,10837,F2,-7
370,E078,371,Schwerer Sonnenbrand    ,Severe sunburn,Nominal,17221,F2,
371,E098,372,Nuckelflasche zur Beruhigung   ,Baby bottle to calm down,Nominal,2644,F2,-7
372,E098a,373,Nuckelflasche tagsüber    ,feeding bottle during the day,Ordinal,366,F2,-7
373,E098b,374,Nuckelflasche nachts    ,feeding bottle at night,Ordinal,420,F2,-7
374,E079,375,Letzte Arztinanspruchnahme (EFB)   ,Last doctor visit (EFB),Ordinal,13585,F2,-7
375,E080,376,Ort: Arztinanspruchnahme (EFB)   ,Place: Doctor's use (EFB),Nominal,13464,F2,-7
376,E081,377,In Anspruch genommener Arzt (EFB) ,Doctor used (EFB),Nominal,13495,F2,-7
377,E0821,378,Arzt für Naturheilkunde (letzter Besuch) (EFB),Naturopathic doctor (last visit) (EFB),Nominal,12708,F2,-7
378,E0822,379,Arzt mit Zusatzausb. Homöopathie (letzter Besuch),doctor with additional training Homeopathy (last visit),Nominal,12546,F2,-7
379,E083m1,380,"Akute Krankheit, Unfall (EFB)  ","Acute illness, accident (EFB)",Nominal,12997,F2,-7
380,E083m2,381,Chronische Krankheit (EFB)   ,Chronic Illness (EFB),Nominal,12997,F2,-7
381,E083m3,382,Störung des Befindens (EFB)  ,Disorder of well-being (EFB),Nominal,12997,F2,-7
382,E083m4,383,Beratung (z. B. Ernährung) (EFB) ,Counseling (e.g. nutrition) (EFB),Nominal,12997,F2,-7
383,E083m5,384,Verordnung eines/r Medikaments/Behandlung (EFB)  ,Prescription of a drug/treatment (EFB),Nominal,12997,F2,-7
384,E083m6,385,Vorsorgeuntersuchung/Impfung (EFB)    ,Medical check-up/vaccination (EFB),Nominal,12997,F2,-7
385,E083m7,386,Kindergarten-/Schul(eingangs)untersuchung (EFB)    ,Kindergarten/school (entry) examination (EFB),Nominal,12993,F2,-7
386,E084,387,Zufriedenheit mit Behandlung/Beratung (EFB)  ,Satisfaction with treatment/advice (EFB),Ordinal,13368,F2,-7
387,E08501,388,Kinderarzt (EFB)    ,Pediatrician (EFB),Nominal,13655,F2,-7
388,E085z01,389,Häufigkeit: Kinderarzt (EFB)   ,Frequency: Pediatrician (EFB),Metrisch,13325,F2,-7
389,E08502,390,Arzt für Allgemeinmedizin/Prakt. Arzt (EFB) ,General Practitioner/Pract. Doctor (EFB),Nominal,13653,F2,-7
390,E085z02,391,Häufigkeit: Prakt. Arzt (EFB)  ,Frequency: Practical. Doctor (EFB),Metrisch,13463,F2,-7
391,E08503,392,Internist (Innere Medizin) (EFB)  ,Internist (internal medicine) (EFB),Nominal,13654,F2,-7
392,E085z03,393,Häufigkeit: Internist (EFB)   ,Frequency: Internist (EFB),Metrisch,13607,F2,-7
393,E08504,394,Augenarzt (EFB)    ,Ophthalmologist (EFB),Nominal,13652,F2,-7
394,E085z04,395,Häufigkeit: Augenarzt (EFB)   ,Frequency: Ophthalmologist (EFB),Metrisch,13614,F2,-7
395,E08505,396,Orthopäde (EFB)    ,Orthopedist (EFB),Nominal,13653,F2,-7
396,E085z05,397,Häufigkeit: Orthopäde (EFB)   ,Frequency: Orthopedist (EFB),Metrisch,13634,F2,-7
397,E08506,398,Hals-Nasen-Ohrenarzt (EFB)    ,Otorhinolaryngologist (EFB),Nominal,13652,F2,-7
398,E085z06,399,Häufigkeit: HNO-Arzt (EFB)   ,Frequency: ENT doctor (EFB),Metrisch,13624,F2,-7
399,E08507,400,Nervenarzt/Psychiater (EFB)    ,Neurologist/Psychiatrist (EFB),Nominal,13653,F2,-7
400,E085z07,401,Häufigkeit: Nervenarzt (EFB)   ,Frequency: Neurologist (EFB),Metrisch,13644,F2,-7
401,E08508,402,Psychologe (EFB)    ,Psychologist (EFB),Nominal,13653,F2,-7
402,E085z08,403,Häufigkeit: Psychologe (EFB)   ,Frequency: Psychologist (EFB),Metrisch,13638,F2,-7
403,E08509,404,Chirurg (EFB)    ,Surgeon (EFB),Nominal,13654,F2,-7
404,E085z09,405,Häufigkeit: Chirurg (EFB)   ,Frequency: Surgeon (EFB),Metrisch,13645,F2,-7
405,E08510,406,Hautarzt (EFB)    ,Dermatologist (EFB),Nominal,13654,F2,-7
406,E085z10,407,Häufigkeit: Hautarzt (EFB)   ,Frequency: Dermatologist (EFB),Metrisch,13629,F2,-7
407,E08511,408,Röntgenarzt (EFB)    ,Radiologist (EFB),Nominal,13653,F2,-7
408,E085z11,409,Häufigkeit: Röntgenarzt (EFB)   ,Frequency: Radiologist (EFB),Metrisch,13648,F2,-7
409,E08512,410,Urologe (EFB)    ,Urologist (EFB),Nominal,13653,F2,-7
410,E085z12,411,Häufigkeit: Urologe (EFB)   ,Frequency: Urologist (EFB),Metrisch,13647,F2,-7
411,E08515,412,"Amtsarzt, Schularzt usw. (EFB)  ","Public health officer, school doctor, etc. (EFB)",Nominal,13652,F2,-7
412,E085z15,413,"Häufigkeit: Amtsarzt, Schularzt (EFB)  ","Frequency: public health officer, school doctor (EFB)",Metrisch,13624,F2,-7
413,E08516,414,Zahnarzt (EFB)    ,Dentist (EFB),Nominal,13614,F2,-7
414,E085z16,415,Häufigkeit: Zahnarzt (EFB)   ,Frequency: Dentist (EFB),Metrisch,13526,F2,-7
415,E08517,416,Sonstiger Arzt (EFB)   ,Other doctor (EFB),Nominal,13653,F2,-7
416,E085z17,417,Häufigkeit: Sonstiger Arzt (EFB)  ,Frequency: Other doctor (EFB),Metrisch,13644,F2,-7
417,E08518,418,Frauenarzt (EFB)    ,Gynecologist (EFB),Nominal,13638,F2,-7
418,E085z18,419,Häufigkeit: Frauenarzt (EFB)   ,Frequency: Gynecologist (EFB),Metrisch,13637,F2,-7
419,e085z,420,Häufigkeit: Arzt (ohne Zahnarzt und Psychologe),Frequency: doctor (excluding dentist and psychologist),Metrisch,13112,F2,-7
420,E0861,421,Heilpraktiker (EFB)    ,Naturopath (EFB),Nominal,13660,F2,-7
421,E086z1,422,Häufigkeit: Heilpraktiker (EFB)   ,Frequency: Naturopath (EFB),Metrisch,13653,F2,-7
422,E086A1,423,Heilpraktiker: Mit Behandlung zufrieden? (EFB) ,Naturopath: Satisfied with treatment? (EFB),Nominal,474,F2,-7
423,E0862,424,"Krankengymnast, Physiotherapeut (EFB)   ",Physiotherapist (EFB),Nominal,13661,F2,-7
424,E086z2,425,Häufigkeit: Physiotherapeut (EFB)   ,Frequency: Physiotherapist (EFB),Metrisch,13620,F2,-7
425,E086A2,426,Physiotherapeut: Mit Behandlung zufrieden? (EFB) ,Physiotherapist: Satisfied with treatment? (EFB),Nominal,655,F2,-7
426,E0863,427,Logopäde (Sprachtherapeut) (EFB)   ,Speech therapist (speech therapist) (EFB),Nominal,13662,F2,-7
427,E086z3,428,Häufigkeit: Logopäde (EFB)   ,Frequency: speech therapist (EFB),Metrisch,13602,F2,-7
428,E086A3,429,Logopäde: Mit Behandlung zufrieden? (EFB) ,Speech therapist: satisfied with treatment? (EFB),Nominal,621,F2,-7
429,E0864,430,Sonst. Einrichtung/Therapeut (EFB)   ,Otherwise. Facility/Therapist (EFB),Nominal,13662,F2,-7
430,E086z4,431,Häufigkeit: Sonst. Einrichtung/Therapeut (EFB)  ,Frequency: Other. Facility/Therapist (EFB),Metrisch,13544,F2,-7
431,E086A4,432,Sonst. Einrichtung/Therapeut: Mit Behandl. zufrieden? (EFB),Otherwise. Facility/Therapist: With treatment. satisfied? (EFB),Nominal,343,F2,-7
432,E08701,433,U1: Nach der Geburt  ,U1: After birth,Nominal,16944,F2,
433,E08702,434,U2: 3.-10. Lebenstag   ,U2: 3rd-10th day of life,Nominal,16944,F2,
434,E08703,435,U3: 4.-6. Lebenswoche   ,U3: 4th-6th life week,Nominal,16944,F2,
435,E08704,436,U4: 3.-4. Lebensmonat   ,U4: 3rd-4th life month,Nominal,16944,F2,
436,E08705,437,U5: 6.-7. Lebensmonat   ,U5: 6th-7th life month,Nominal,16944,F2,
437,E08706,438,U6: 10.-12. Lebensmonat   ,U6: 10th-12th life month,Nominal,16944,F2,
438,E08707,439,U7: 21.-24. Lebensmonat   ,U7: 21st-24th life month,Nominal,16944,F2,
439,E08708,440,U8: 43.-48. Lebensmonat   ,U8: 43rd-48th life month,Nominal,14186,F2,-7
440,E08709,441,U9: Im 6 Lebensjahr  ,U9: At the age of 6,Nominal,14186,F2,-7
441,E08711,442,J1: Im 15 Lebensjahr  ,J1: At the age of 15,Nominal,3481,F2,-7
442,E08710,443,Vorsorgeuntersuchung: Trifft nicht zu  ,Medical check-up: Not applicable,Nominal,16944,F2,
443,E087,444,Andere Vorsorgeuntersuchung    ,Other check-ups,Nominal,10363,F2,
444,E088m01,445,Allgemeine Ortskrankenkasse (AOK)   ,General local health insurance (AOK),Nominal,17221,F2,-7
445,E088m02,446,Ersatzkrankenkasse     ,substitute health insurance,Nominal,17221,F2,-7
446,E088m03,447,Betriebskrankenkasse     ,company health insurance,Nominal,17221,F2,-7
447,E088m04,448,Innungskrankenkasse     ,Guild health insurance,Nominal,17221,F2,-7
448,E088m05,449,Andere gesetzliche Krankenkasse   ,Other statutory health insurance,Nominal,17221,F2,-7
449,E088m06,450,Private Vollversicherung    ,Private full insurance,Nominal,17221,F2,-7
450,E088m07,451,Private Zusatzversicherung    ,Private supplementary insurance,Nominal,17221,F2,-7
451,E088m08,452,Beihilfe (z. B. Öffentl. Dienst) ,Aid (e.g. public service),Nominal,17221,F2,-7
452,E088m09,453,Ausländische Krankenkasse    ,Foreign health insurance,Nominal,17221,F2,-7
453,E088m10,454,Sonst. Anspruch auf Krankenversorgung  ,Otherwise. entitlement to health care,Nominal,17221,F2,-7
454,E088m11,455,Keine Krankenversicherung    ,No health insurance,Nominal,17221,F2,-7
455,awann,456,Letzte Arztinanspruchnahme (EFB/KFB)   ,Last visit to the doctor (EFB/KFB),Ordinal,17254,F2,
456,aort,457,Ort: Arztinanspruchnahme (EFB/KFB)   ,Place: Doctor's use (EFB/KFB),Nominal,17068,F2,
457,atyp,458,In Anspruch genommener Arzt (EFB/KFB) ,Doctor used (EFB/KFB),Nominal,17095,F2,
458,atypnat,459,Arzt für Naturheilkunde (letzter Besuch) (EFB/KFB),Naturopathic doctor (last visit) (EFB/KFB),Nominal,16202,F2,
459,atyphom,460,Arzt mit Zusatzausb. Homöopathie (letzter Besuch),doctor with additional training Homeopathy (last visit),Nominal,15980,F2,
460,agrnd_m1,461,"Grund: Akute Krankheit, Unfall (EFB/KFB) ","Reason: Acute illness, accident (EFB/KFB)",Nominal,16474,F2,
461,agrnd_m2,462,Grund: Chronische Krankheit (EFB/KFB)  ,Reason: Chronic illness (EFB/KFB),Nominal,16474,F2,
462,agrnd_m3,463,Grund: Störung des Befindens (EFB/KFB) ,Reason: disturbance of well-being (EFB/KFB),Nominal,16474,F2,
463,agrnd_m4,464,Grund: Beratung (z. B. Ernährung) (EFB/KFB),Reason: advice (e.g. nutrition) (EFB/KFB),Nominal,16474,F2,
464,agrnd_m5,465,Grund: Verordnung eines/r Medikaments/Behandlung (EFB/KFB) ,Reason: prescription of a drug/treatment (EFB/KFB),Nominal,16474,F2,
465,agrnd_m6,466,Grund: Vorsorgeuntersuchung/Impfung (EFB/KFB)   ,Reason: check-up/vaccination (EFB/KFB),Nominal,16474,F2,
466,agrnd_m7,467,Grund: Kindergarten-/Schul(eingangs)untersuchung (nur EFB)  ,Reason: kindergarten/school (initial) examination (only EFB),Nominal,12993,F2,-7
467,azufr,468,Zufriedenheit mit Behandlung/Beratung (EFB/KFB)  ,Satisfaction with treatment/advice (EFB/KFB),Ordinal,16998,F2,
468,arzt01,469,Kinderarzt (EFB/KFB)    ,Pediatrician (EFB/KFB),Nominal,17336,F2,
469,arztZ01,470,Häufigkeit: Kinderarzt (EFB/KFB)   ,Frequency: Pediatrician (EFB/KFB),Metrisch,16946,F2,
470,arzt02,471,Arzt für Allgemeinmedizin/Prakt. Arzt (EFB/KFB) ,General Practitioner/Pract. Doctor (EFB/KFB),Nominal,17337,F2,
471,arztZ02,472,Häufigkeit: Prakt. Arzt (EFB/KFB)  ,Frequency: Practical. Doctor (EFB/KFB),Metrisch,17005,F2,
472,arzt03,473,Internist (Innere Medizin) (EFB/KFB)  ,Internist (internal medicine) (EFB/KFB),Nominal,17339,F2,
473,arztZ03,474,Häufigkeit: Internist (EFB/KFB)   ,Frequency: Internist (EFB/KFB),Metrisch,17275,F2,
474,arzt04,475,Augenarzt (EFB/KFB)    ,Ophthalmologist (EFB/KFB),Nominal,17336,F2,
475,arztZ04,476,Häufigkeit: Augenarzt (EFB/KFB)   ,Frequency: ophthalmologist (EFB/KFB),Metrisch,17286,F2,
476,arzt05,477,Orthopäde (EFB/KFB)    ,Orthopedist (EFB/KFB),Nominal,17336,F2,
477,arztZ05,478,Häufigkeit: Orthopäde (EFB/KFB)   ,Frequency: orthopedist (EFB/KFB),Metrisch,17287,F2,
478,arzt06,479,Hals-Nasen-Ohrenarzt (EFB/KFB)    ,Otorhinolaryngologist (EFB/KFB),Nominal,17337,F2,
479,arztZ06,480,Häufigkeit: HNO-Arzt (EFB/KFB)   ,Frequency: ENT doctor (EFB/KFB),Metrisch,17299,F2,
480,arzt07,481,Nervenarzt/Psychiater (EFB/KFB)    ,Neurologist/Psychiatrist (EFB/KFB),Nominal,17338,F2,
481,arztZ07,482,Häufigkeit: Nervenarzt (EFB/KFB)   ,Frequency: neurologist (EFB/KFB),Metrisch,17326,F2,
482,arzt08,483,Psychologe (EFB/KFB)    ,Psychologist (EFB/KFB),Nominal,17338,F2,
483,arztZ08,484,Häufigkeit: Psychologe (EFB/KFB)   ,Frequency: Psychologist (EFB/KFB),Metrisch,17321,F2,
484,arzt09,485,Chirurg (EFB/KFB)    ,Surgeon (EFB/KFB),Nominal,17339,F2,
485,arztZ09,486,Häufigkeit: Chirurg (EFB/KFB)   ,Frequency: Surgeon (EFB/KFB),Metrisch,17313,F2,
486,arzt10,487,Hautarzt (EFB/KFB)    ,Dermatologist (EFB/KFB),Nominal,17337,F2,
487,arztZ10,488,Häufigkeit: Hautarzt (EFB/KFB)   ,Frequency: dermatologist (EFB/KFB),Metrisch,17272,F2,
488,arzt11,489,Röntgenarzt (EFB/KFB)    ,Radiologist (EFB/KFB),Nominal,17338,F2,
489,arztZ11,490,Häufigkeit: Röntgenarzt (EFB/KFB)   ,Frequency: radiologist (EFB/KFB),Metrisch,17327,F2,
490,arzt12,491,Urologe (EFB/KFB)    ,Urologist (EFB/KFB),Nominal,17338,F2,
491,arztZ12,492,Häufigkeit: Urologe (EFB/KFB)   ,Frequency: Urologist (EFB/KFB),Metrisch,17331,F2,
492,arzt15,493,"Amtsarzt, Schularzt usw. (EFB/KFB)  ","Public health officer, school doctor, etc. (EFB/KFB)",Nominal,17336,F2,
493,arztZ15,494,"Häufigkeit: Amtsarzt, Schularzt, Betriebsarzt (EFB/KFB) ","Frequency: public health officer, school doctor, company doctor (EFB/KFB)",Metrisch,17300,F2,
494,arzt16,495,Zahnarzt (EFB); Zahnarzt/Kieferorthopäde (KFB)  ,Dentist (EFB); Dentist/orthodontist (KFB),Nominal,17298,F2,
495,arztZ16,496,Häufigkeit: Zahnarzt (EFB); Zahnarzt/Kieferorthopäde (KFB) ,Frequency: Dentist (EFB); Dentist/orthodontist (KFB),Metrisch,17190,F2,
496,arzt17,497,Sonstiger Arzt (EFB/KFB)   ,Other doctor (EFB/KFB),Nominal,17338,F2,
497,arztZ17,498,Häufigkeit: Sonstiger Arzt (EFB/KFB)  ,Frequency: Other doctor (EFB/KFB),Metrisch,17324,F2,
498,arzt18,499,Frauenarzt (EFB/KFB)    ,Gynecologist (EFB/KFB),Nominal,17322,F2,
499,arztZ18,500,Häufigkeit: Frauenarzt (EFB/KFB)   ,Frequency: Gynecologist (EFB/KFB),Metrisch,17312,F2,
500,arzt12mm,501,Arztbesuch = ja in 12-Monats-Prävalenz (EFB/KFB),Visit to the doctor = yes in 12-month prevalence (EFB/KFB),Nominal,17340,F3,
